cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.15517241379310345
bigram;False;True;False;False;False;False;False;False;False;comment;0.8793103448275862
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.29310344827586204
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.4827586206896552
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.1896551724137931
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.41379310344827586
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.22413793103448276
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.5344827586206896
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.41379310344827586
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.27586206896551724
bow;True;False;False;False;False;False;False;False;False;comment;0.3275862068965517
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.3448275862068966
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.1206896551724138
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.3620689655172414
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7068965517241379
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.1724137931034483
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.22413793103448276
