cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.27906976744186046
bigram;False;True;False;False;False;False;False;False;False;comment;0.8604651162790697
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.4418604651162791
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.5116279069767442
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.3488372093023256
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.5116279069767442
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.27906976744186046
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.5116279069767442
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.3953488372093023
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.4418604651162791
bow;True;False;False;False;False;False;False;False;False;comment;0.4186046511627907
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.32558139534883723
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.27906976744186046
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.4186046511627907
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7906976744186046
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.627906976744186
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.2558139534883721
