cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.5894736842105263
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.5955056179775281
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.5934065934065934
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7014925373134329
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7230769230769231
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6071428571428571
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5894736842105263
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6067415730337079
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9210526315789473
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.75
