cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.5196078431372549;0.9137931034482759;0.6625000000000001;10.342000007629395
bigram;False;True;False;False;False;False;False;False;False;comment;0.72;0.3103448275862069;0.4337349397590362;1.563999891281128
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.5591397849462365;0.896551724137931;0.6887417218543046;14.3989999294281
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.6;0.7758620689655172;0.6766917293233082;16.986000061035156
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.53;0.9137931034482759;0.6708860759493671;14.921000003814697
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.569620253164557;0.7758620689655172;0.6569343065693432;18.87000012397766
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.5360824742268041;0.896551724137931;0.6709677419354838;10.190999984741211
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.5909090909090909;0.6724137931034483;0.6290322580645161;12.864000082015991
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.5903614457831325;0.8448275862068966;0.6950354609929078;10.64299988746643
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5483870967741935;0.8793103448275862;0.6754966887417219;14.66700005531311
bow;True;False;False;False;False;False;False;False;False;comment;0.5568181818181818;0.8448275862068966;0.6712328767123287;16.865999937057495
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.5730337078651685;0.8793103448275862;0.693877551020408;12.641000032424927
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5142857142857142;0.9310344827586207;0.6625766871165643;10.157000064849854
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5747126436781609;0.8620689655172413;0.689655172413793;11.561999797821045
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6530612244897959;0.5517241379310345;0.5981308411214953;1.8889999389648438
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5051546391752577;0.8448275862068966;0.632258064516129;1.4869999885559082
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.5360824742268041;0.896551724137931;0.6709677419354838;12.595999956130981
