cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;9.441999912261963
bigram;False;True;False;False;False;False;False;False;False;comment;1.75
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;14.151999950408936
bow-bigram;True;True;False;False;False;False;False;False;False;comment;13.841000080108643
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;12.151000022888184
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;17.77500009536743
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;10.837999820709229
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;12.414000034332275
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;10.253000020980835
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;13.051000118255615
bow;True;False;False;False;False;False;False;False;False;comment;14.33299994468689
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;13.812000036239624
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;9.072999954223633
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;11.615000009536743
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;2.013000011444092
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;1.9249999523162842
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;13.0
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;15.836999893188477
bigram;False;True;False;False;False;False;False;False;False;comment;2.056999921798706
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;19.016000032424927
bow-bigram;True;True;False;False;False;False;False;False;False;comment;21.7810001373291
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;18.325999975204468
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;21.888999938964844
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;12.49399995803833
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;17.200000047683716
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;15.435999870300293
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;18.19099998474121
bow;True;False;False;False;False;False;False;False;False;comment;18.2810001373291
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;15.542999982833862
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;13.225000143051147
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;13.966000080108643
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;2.192000150680542
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;1.6630001068115234
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;17.591000080108643
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;13.168999910354614
bigram;False;True;False;False;False;False;False;False;False;comment;1.944000005722046
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;19.248000144958496
bow-bigram;True;True;False;False;False;False;False;False;False;comment;20.950999975204468
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;15.816999912261963
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;19.83299994468689
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;11.871999979019165
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;15.174000024795532
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;12.855999946594238
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;17.294999837875366
bow;True;False;False;False;False;False;False;False;False;comment;16.96499991416931
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;14.200999975204468
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;11.858000040054321
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;12.815999984741211
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;2.1130001544952393
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;1.6579999923706055
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;13.464999914169312
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;10.342000007629395
bigram;False;True;False;False;False;False;False;False;False;comment;1.563999891281128
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;14.3989999294281
bow-bigram;True;True;False;False;False;False;False;False;False;comment;16.986000061035156
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;14.921000003814697
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;18.87000012397766
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;10.190999984741211
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;12.864000082015991
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;10.64299988746643
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;14.66700005531311
bow;True;False;False;False;False;False;False;False;False;comment;16.865999937057495
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;12.641000032424927
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;10.157000064849854
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;11.561999797821045
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;1.8889999389648438
