cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6625000000000001
bigram;False;True;False;False;False;False;False;False;False;comment;0.4337349397590362
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6887417218543046
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.6766917293233082
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6708860759493671
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.6569343065693432
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6709677419354838
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.6290322580645161
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6950354609929078
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6754966887417219
bow;True;False;False;False;False;False;False;False;False;comment;0.6712328767123287
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.693877551020408
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6625766871165643
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.689655172413793
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5981308411214953
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.632258064516129
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.6709677419354838
