cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6935431310066453;0.856682888113599;0.7662160858711294;4.316899991035461
bigram;False;True;False;False;False;False;False;False;False;comment;0.8503858594042418;0.37454213719555807;0.5153499787896094;0.8936000108718872
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6828777262850527;0.865277163930652;0.7626785862114058;5.984899997711182
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7575642682114176;0.7870803382379384;0.7711944819393921;7.071600008010864
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7527243749524499;0.811948633384233;0.7808301631643948;5.579299950599671
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7666564611518146;0.7940852476460108;0.7795280284632169;6.938199996948242
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6801005354309149;0.8621783871783872;0.760044346196314;3.9775000333786013
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7576002239430794;0.7731951278739096;0.7646931222748152;5.337000012397766
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.6557959868585955;0.8343997102722975;0.7333107802274859;4.578000020980835
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6783608394254658;0.8507158365199038;0.753422837912719;8.182999968528748
bow;True;False;False;False;False;False;False;False;False;comment;0.6717294767536796;0.8456419972216741;0.7477067755245549;6.57350001335144
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7253646379076345;0.8241306927032571;0.7713162327342958;5.034999990463257
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7143809010854927;0.8739159546818926;0.7853776932357832;4.126199984550476
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.6878585024680236;0.8391484025794552;0.7550883967830908;4.359800004959107
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.8481243073352932;0.4968210559724149;0.6257136368012995;0.8474999666213989
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.811369136422685;0.5268392761985463;0.6368445064424216;0.678000020980835
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.6855892238402425;0.8683335199680599;0.7658077971434609;4.273299980163574
