cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.75
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7307692307692307
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7142857142857143
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.6111111111111112
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.6111111111111112
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7307692307692307
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.75
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.72
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5396825396825397
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5625
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.75
