cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;8.114000082015991
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;11.86899995803833
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;11.014999866485596
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;13.958999872207642
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;11.444000005722046
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;12.845999956130981
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;9.337000131607056
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;9.170000076293945
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;1.4690001010894775
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;1.559999942779541
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;5.601999998092651
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;8.44700002670288
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;8.75
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;10.849999904632568
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;7.319000005722046
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;8.60699987411499
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;6.073999881744385
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;6.724999904632568
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;1.126000165939331
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8600001335144043
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;8.291000127792358
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;11.531999826431274
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;11.039999961853027
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;14.217999935150146
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;10.568000078201294
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;11.532999992370605
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;7.88700008392334
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;8.25599980354309
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;1.3389999866485596
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;1.0309998989105225
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;7.871000051498413
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;10.264000177383423
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;9.960999965667725
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;12.61899995803833
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;9.498000144958496
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;10.851999998092651
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;6.91100001335144
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;7.991999864578247
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;1.2269999980926514
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;1.0219998359680176
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;5.578000068664551
