cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.9487179487179487
bigram;False;True;False;False;False;False;False;False;False;comment;0.2564102564102564
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.9230769230769231
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.8461538461538461
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.9487179487179487
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8717948717948718
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.9230769230769231
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8717948717948718
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.8974358974358975
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.9230769230769231
bow;True;False;False;False;False;False;False;False;False;comment;0.9230769230769231
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.9230769230769231
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.9743589743589743
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.9230769230769231
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.717948717948718
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;1.0
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.9230769230769231
