cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.5571428571428572
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.6
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.5692307692307692
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.58
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.58
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5571428571428572
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5901639344262295
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6086956521739131
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5789473684210527
