,cfg_id,bow,bigram,lemmatize,remove_stopwords,rating,length,tense,sentiment1,sentiment2,db_comment_column_name,Mean_Precision,Mean_Recall,Mean_F1Score,Mean_Time,label,value
0,bow-lemmatize-remove_stopwords-rating-tense-sentiment1,True,False,True,True,True,False,True,True,False,stopwords_removal_lemmatization,0.8107646818294209,0.6831118283743486,0.7393728085595778,7.441200041770935,Bug,meanscores
1,bigram,False,True,False,False,False,False,False,False,False,comment,0.5696043592921354,0.9846344181734776,0.7207357568957142,1.5997999906539917,Bug,meanscores
2,bow-rating-sentiment1,True,False,False,False,True,False,False,True,False,comment,0.8084486979832871,0.6825560072627629,0.7396538298769931,10.768499970436096,Bug,meanscores
3,bow-bigram,True,True,False,False,False,False,False,False,False,comment,0.7613071708074377,0.8403493320885722,0.7983310089544259,8.27579996585846,Bug,meanscores
4,bow-bigram-remove_stopwords-rating-tense-sentiment1,True,True,False,True,True,False,True,True,False,stopwords_removal,0.7834868992870329,0.7932653171304322,0.7877721170994854,6.672799968719483,Bug,meanscores
5,bow-bigram-tense-sentiment1,True,True,False,False,False,False,True,True,False,comment,0.7582173110461538,0.8381202864323987,0.7953841917872672,9.109800004959107,Bug,meanscores
6,bow-lemmatize-remove_stopwords,True,False,True,True,False,False,False,False,False,stopwords_removal_lemmatization,0.8219792680786313,0.6741350971298992,0.7395500007155571,5.94449999332428,Bug,meanscores
7,bow-bigram-lemmatize-rating-tense,True,True,True,False,True,False,True,False,False,lemmatized_comment,0.7591255432608356,0.8618891567822289,0.8067243006925319,6.448399925231934,Bug,meanscores
8,bow-lemmatize,True,False,True,False,False,False,False,False,False,lemmatized_comment,0.7768466761392225,0.6445553486204011,0.7032734550701024,5.381200003623962,Bug,meanscores
9,bow-rating-tense-sentiment1,True,False,False,False,True,False,True,True,False,comment,0.7925061521405672,0.6900660080296787,0.7369909446730956,7.207100033760071,Bug,meanscores
10,bow,True,False,False,False,False,False,False,False,False,comment,0.7528154611319625,0.6736193966070233,0.7100115883469832,7.249499988555907,Bug,meanscores
11,bow-bigram-lemmatize-remove_stopwords,True,True,True,True,False,False,False,False,False,stopwords_removal_lemmatization,0.7857181833851141,0.8174289437920853,0.8002771111439818,5.677899980545044,Bug,meanscores
12,bow-lemmatize-remove_stopwords-rating-tense-sentiment2,True,False,True,True,True,False,True,False,True,stopwords_removal_lemmatization,0.8552289249569137,0.6855811193427328,0.7606136929124167,4.811999988555908,Bug,meanscores
13,bow-lemmatize-rating,True,False,True,False,True,False,False,False,False,lemmatized_comment,0.7967032113489548,0.6668166738068482,0.725374754188896,5.0637000560760494,Bug,meanscores
14,bigram-rating-sentiment1,False,True,False,False,True,False,False,True,False,comment,0.6242514925254631,0.9582010499960968,0.7558733127156356,0.994599986076355,Bug,meanscores
15,bigram-lemmatize-remove_stopwords-rating-tense-sentiment2,False,True,True,True,True,False,True,False,True,stopwords_removal_lemmatization,0.6780122555886043,0.8676750696332093,0.7604297506857398,0.7299000263214112,Bug,meanscores
16,bow-remove_stopwords,True,False,False,True,False,False,False,False,False,stopwords_removal,0.8171655971938936,0.6562335027055546,0.7267201984011231,5.876599955558777,Bug,meanscores
17,bow-lemmatize-remove_stopwords-rating-tense-sentiment1,True,False,True,True,True,False,True,True,False,stopwords_removal_lemmatization,0.7725399694552478,0.5622426321825198,0.6499066334031115,3.710900020599365,Feature,meanscores
18,bigram,False,True,False,False,False,False,False,False,False,comment,0.5957591261485942,0.9639487971168714,0.7353160891760064,0.7937999963760376,Feature,meanscores
19,bow-rating-sentiment1,True,False,False,False,True,False,False,True,False,comment,0.7697098116885028,0.5457639545818813,0.6375539956398049,5.0327999830245975,Feature,meanscores
20,bow-bigram,True,True,False,False,False,False,False,False,False,comment,0.739208213293178,0.7593325431986008,0.7485610610837944,5.898799991607666,Feature,meanscores
21,bow-bigram-remove_stopwords-rating-tense-sentiment1,True,True,False,True,True,False,True,True,False,stopwords_removal,0.769332950162197,0.7011051635494814,0.7309085096339729,4.603000020980835,Feature,meanscores
22,bow-bigram-tense-sentiment1,True,True,False,False,False,False,True,True,False,comment,0.7580785837551733,0.7805964534747618,0.7687091028037935,5.984300017356873,Feature,meanscores
23,bow-lemmatize-remove_stopwords,True,False,True,True,False,False,False,False,False,stopwords_removal_lemmatization,0.7676730799245429,0.5128377366230507,0.6101562674728898,3.463700079917908,Feature,meanscores
24,bow-bigram-lemmatize-rating-tense,True,True,True,False,True,False,True,False,False,lemmatized_comment,0.7519610961428655,0.7807265940942953,0.7656090817319798,4.534800052642822,Feature,meanscores
25,bow-lemmatize,True,False,True,False,False,False,False,False,False,lemmatized_comment,0.756905107592798,0.5607949792941506,0.64319738789347,3.499800014495849,Feature,meanscores
26,bow-rating-tense-sentiment1,True,False,False,False,True,False,True,True,False,comment,0.7720135462664197,0.5819176415466749,0.6618142367777069,5.122399997711182,Feature,meanscores
27,bow,True,False,False,False,False,False,False,False,False,comment,0.7446218962988939,0.532582535498684,0.618671628316104,4.7875,Feature,meanscores
28,bow-bigram-lemmatize-remove_stopwords,True,True,True,True,False,False,False,False,False,stopwords_removal_lemmatization,0.7691845207859866,0.6792659880786853,0.7204458754579985,3.998800015449524,Feature,meanscores
29,bow-lemmatize-remove_stopwords-rating-tense-sentiment2,True,False,True,True,True,False,True,False,True,stopwords_removal_lemmatization,0.7838416496987209,0.5810383032416284,0.6656151689279154,3.4289999961853033,Feature,meanscores
30,bow-lemmatize-rating,True,False,True,False,True,False,False,False,False,lemmatized_comment,0.7493849553242375,0.5451381277919622,0.6294508522691353,3.752199959754944,Feature,meanscores
31,bigram-rating-sentiment1,False,True,False,False,True,False,False,True,False,comment,0.5839468626028766,0.9624140506284904,0.7262143595425113,0.7715999603271484,Feature,meanscores
32,bigram-lemmatize-remove_stopwords-rating-tense-sentiment2,False,True,True,True,True,False,True,False,True,stopwords_removal_lemmatization,0.5969770384262606,0.8948884599347637,0.7149108596905169,0.6200000047683716,Feature,meanscores
33,bow-remove_stopwords,True,False,False,True,False,False,False,False,False,stopwords_removal,0.8210233359155185,0.481905506096391,0.6040907966924516,3.6618999481201167,Feature,meanscores
34,bow-lemmatize-remove_stopwords-rating-tense-sentiment1,True,False,True,True,True,False,True,True,False,stopwords_removal_lemmatization,0.7368090791928943,0.8479370944360664,0.7870355359964487,7.441200041770935,Not_Bug,meanscores
35,bigram,False,True,False,False,False,False,False,False,False,comment,0.9477566646316647,0.26762398602644755,0.41231657462754345,1.5997999906539917,Not_Bug,meanscores
36,bow-rating-sentiment1,True,False,False,False,True,False,False,True,False,comment,0.714903031463578,0.8311197562554058,0.7681554228461452,10.768499970436096,Not_Bug,meanscores
37,bow-bigram,True,True,False,False,False,False,False,False,False,comment,0.8142898455365568,0.724470760815507,0.7657603202810916,8.27579996585846,Not_Bug,meanscores
38,bow-bigram-remove_stopwords-rating-tense-sentiment1,True,True,False,True,True,False,True,True,False,stopwords_removal,0.799533768705174,0.7905176228273343,0.7944389479778772,6.672799968719483,Not_Bug,meanscores
39,bow-bigram-tense-sentiment1,True,True,False,False,False,False,True,True,False,comment,0.8198262038387512,0.734626824526494,0.7739120476672887,9.109800004959107,Not_Bug,meanscores
40,bow-lemmatize-remove_stopwords,True,False,True,True,False,False,False,False,False,stopwords_removal_lemmatization,0.7291599766889266,0.8581861808350343,0.787599270133146,5.94449999332428,Not_Bug,meanscores
41,bow-bigram-lemmatize-rating-tense,True,True,True,False,True,False,True,False,False,lemmatized_comment,0.8405524170328776,0.7270806546038705,0.7790509848958443,6.448399925231934,Not_Bug,meanscores
42,bow-lemmatize,True,False,True,False,False,False,False,False,False,lemmatized_comment,0.6934105466014591,0.812241160412596,0.7472439972643515,5.381200003623962,Not_Bug,meanscores
43,bow-rating-tense-sentiment1,True,False,False,False,True,False,True,True,False,comment,0.7372962996171337,0.8267606832882685,0.7790448746087058,7.207100033760071,Not_Bug,meanscores
44,bow,True,False,False,False,False,False,False,False,False,comment,0.7183074100474913,0.7906130899447865,0.7518984155447385,7.249499988555907,Not_Bug,meanscores
45,bow-bigram-lemmatize-remove_stopwords,True,True,True,True,False,False,False,False,False,stopwords_removal_lemmatization,0.8126423841907131,0.7781906536867151,0.7938995325721592,5.677899980545044,Not_Bug,meanscores
46,bow-lemmatize-remove_stopwords-rating-tense-sentiment2,True,False,True,True,True,False,True,False,True,stopwords_removal_lemmatization,0.7172360633625001,0.8731429976844327,0.7870840016316815,4.811999988555908,Not_Bug,meanscores
