cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.32653061224489793
bigram;False;True;False;False;False;False;False;False;False;comment;0.7169811320754716
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7272727272727273
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.8607594936708862
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.48148148148148157
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8421052631578947
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6666666666666666
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8860759493670887
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.8219178082191781
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6666666666666666
bow;True;False;False;False;False;False;False;False;False;comment;0.8169014084507042
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7647058823529411
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.2608695652173913
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.8
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7951807228915663
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.22727272727272727
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.6229508196721311
