cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.5441176470588235
bigram;False;True;False;False;False;False;False;False;False;comment;0.9090909090909091
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7058823529411765
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.868421052631579
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.5873015873015873
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8292682926829268
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6666666666666666
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8947368421052632
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.7954545454545454
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6666666666666666
bow;True;False;False;False;False;False;False;False;False;comment;0.782608695652174
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7346938775510204
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5352112676056338
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7659574468085106
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.8235294117647058
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5342465753424658
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.6428571428571429
