cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7428571428571429
bigram;False;True;False;False;False;False;False;False;False;comment;0.58
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7073170731707317
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.717948717948718
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7142857142857143
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7307692307692307
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7230769230769231
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.7142857142857143
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6956521739130435
bow;True;False;False;False;False;False;False;False;False;comment;0.6829268292682927
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7352941176470589
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7428571428571429
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7317073170731707
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6739130434782609
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6666666666666666
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.76
