cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6160714285714286;0.7043478260869566;0.7053571428571429;0.6974789915966386;0.7222222222222222;0.6759259259259259;0.6761904761904762;0.6796116504854369;0.6229508196721312;0.7075471698113207
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7090909090909091;0.63;0.6938775510204082;0.6239316239316239;0.7102803738317757;0.7090909090909091;0.6826923076923077;0.6476190476190476;0.68;0.6857142857142857
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8163265306122449;0.8252427184466019;0.847457627118644;0.7909090909090909;0.7978723404255319;0.8425925925925926;0.8288288288288288;0.8166666666666667;0.7669902912621359;0.7982456140350878
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8389830508474576;0.8240740740740741;0.8181818181818182;0.8392857142857143;0.8434782608695652;0.8660714285714286;0.8198198198198198;0.7850467289719626;0.8198198198198198;0.8571428571428571
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8807339449541285;0.8018018018018018;0.8571428571428571;0.8859649122807017;0.8269230769230769;0.8240740740740741;0.8053097345132744;0.8532110091743119;0.8761061946902655;0.9
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5765765765765766;0.7169811320754716;0.625;0.6910569105691057;0.6320754716981132;0.7115384615384616;0.6517857142857143;0.6929824561403509;0.7075471698113207;0.6635514018691588
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6759259259259259;0.7314814814814815;0.6756756756756757;0.6910569105691057;0.75;0.7739130434782608;0.7297297297297297;0.603448275862069;0.6396396396396397;0.7478260869565218
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7589285714285714;0.6759259259259259;0.625;0.6634615384615384;0.6557377049180327;0.6379310344827587;0.7394957983193278;0.7314814814814815;0.680327868852459;0.7238095238095238
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8070175438596491;0.7889908256880734;0.8319327731092437;0.7818181818181819;0.8073394495412844;0.8557692307692307;0.8181818181818182;0.7589285714285714;0.8571428571428571;0.8095238095238095
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8095238095238095;0.85;0.8518518518518519;0.7777777777777778;0.7818181818181819;0.8067226890756303;0.86;0.8050847457627118;0.8448275862068966;0.8518518518518519
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8879310344827587;0.8256880733944955;0.9469026548672567;0.8842975206611571;0.8416666666666667;0.8440366972477065;0.864406779661017;0.8974358974358975;0.8230088495575221;0.8956521739130435
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6476190476190476;0.6293103448275862;0.7264150943396226;0.6396396396396397;0.6545454545454545;0.7168141592920354;0.6964285714285714;0.6862745098039216;0.6238532110091743;0.6283185840707964
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7027027027027027;0.7264150943396226;0.6216216216216216;0.7043478260869566;0.7363636363636363;0.7333333333333333;0.7166666666666667;0.7333333333333333;0.7363636363636363;0.7265625
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7130434782608696;0.7064220183486238;0.6396396396396397;0.69;0.75;0.7217391304347827;0.7222222222222222;0.6083333333333333;0.6435643564356436;0.6727272727272727
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9523809523809523;0.9642857142857143;0.9655172413793104;0.9433962264150944;0.9482758620689655;0.9528301886792453;0.9732142857142857;0.926605504587156;0.9537037037037037;0.9734513274336283
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8272727272727273;0.8448275862068966;0.9357798165137615;0.8317757009345794;0.8598130841121495;0.8611111111111112;0.8828828828828829;0.8809523809523809;0.8319327731092437;0.8632478632478633
