cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.9069767441860465
bigram;False;True;False;False;False;False;False;False;False;comment;0.23255813953488372
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8372093023255814
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.6744186046511628
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8604651162790697
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.6744186046511628
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.9302325581395349
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.6744186046511628
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.8372093023255814
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8372093023255814
bow;True;False;False;False;False;False;False;False;False;comment;0.8604651162790697
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8372093023255814
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.9069767441860465
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.8372093023255814
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.32558139534883723
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5116279069767442
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.9069767441860465
