cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8;0.20512820512820512;0.32653061224489793;8.291000127792358
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8888888888888888;0.6153846153846154;0.7272727272727273;11.531999826431274
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8666666666666667;0.3333333333333333;0.48148148148148157;11.039999961853027
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8648648648648649;0.8205128205128205;0.8421052631578947;14.217999935150146
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.875;0.8974358974358975;0.8860759493670887;10.568000078201294
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.875;0.5384615384615384;0.6666666666666666;11.532999992370605
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8571428571428571;0.15384615384615385;0.2608695652173913;7.88700008392334
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.9032258064516129;0.717948717948718;0.8;8.25599980354309
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.75;0.8461538461538461;0.7951807228915663;1.3389999866485596
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;1.0;0.1282051282051282;0.22727272727272727;1.0309998989105225
