,cfg_id,bow,bigram,lemmatize,remove_stopwords,rating,length,tense,sentiment1,sentiment2,db_comment_column_name,Mean_Precision,Mean_Recall,Mean_F1Score,Mean_Time,label,value
0,bow-lemmatize-remove_stopwords-rating-tense-sentiment1,True,False,True,True,True,False,True,True,False,stopwords_removal_lemmatization,0.6428571428571429,0.15517241379310345,0.25,10.342000007629396,Bug,meanscores
1,bigram,False,True,False,False,False,False,False,False,False,comment,0.5604395604395604,0.8793103448275862,0.6845637583892618,1.5639998912811282,Bug,meanscores
2,bow-rating-sentiment1,True,False,False,False,True,False,False,True,False,comment,0.7391304347826086,0.29310344827586204,0.419753086419753,14.3989999294281,Bug,meanscores
3,bow-bigram,True,True,False,False,False,False,False,False,False,comment,0.6829268292682927,0.4827586206896552,0.5656565656565656,16.986000061035153,Bug,meanscores
4,bow-bigram-remove_stopwords-rating-tense-sentiment1,True,True,False,True,True,False,True,True,False,stopwords_removal,0.6875,0.1896551724137931,0.2972972972972973,14.921000003814695,Bug,meanscores
5,bow-bigram-tense-sentiment1,True,True,False,False,False,False,True,True,False,comment,0.6486486486486487,0.4137931034482759,0.5052631578947369,18.87000012397766,Bug,meanscores
6,bow-lemmatize-remove_stopwords,True,False,True,True,False,False,False,False,False,stopwords_removal_lemmatization,0.6842105263157895,0.2241379310344828,0.3376623376623377,10.190999984741213,Bug,meanscores
7,bow-bigram-lemmatize-rating-tense,True,True,True,False,True,False,True,False,False,lemmatized_comment,0.62,0.5344827586206896,0.574074074074074,12.864000082015991,Bug,meanscores
8,bow-lemmatize,True,False,True,False,False,False,False,False,False,lemmatized_comment,0.7272727272727273,0.4137931034482759,0.5274725274725275,10.642999887466429,Bug,meanscores
9,bow-rating-tense-sentiment1,True,False,False,False,True,False,True,True,False,comment,0.6956521739130435,0.27586206896551724,0.3950617283950617,14.66700005531311,Bug,meanscores
10,bow,True,False,False,False,False,False,False,False,False,comment,0.6785714285714286,0.3275862068965517,0.4418604651162791,16.865999937057495,Bug,meanscores
11,bow-bigram-lemmatize-remove_stopwords,True,True,True,True,False,False,False,False,False,stopwords_removal_lemmatization,0.7407407407407407,0.3448275862068966,0.4705882352941176,12.641000032424927,Bug,meanscores
12,bow-lemmatize-remove_stopwords-rating-tense-sentiment2,True,False,True,True,True,False,True,False,True,stopwords_removal_lemmatization,0.6363636363636364,0.1206896551724138,0.2028985507246377,10.157000064849854,Bug,meanscores
13,bow-lemmatize-rating,True,False,True,False,True,False,False,False,False,lemmatized_comment,0.7241379310344828,0.3620689655172414,0.4827586206896553,11.561999797821045,Bug,meanscores
14,bigram-rating-sentiment1,False,True,False,False,True,False,False,True,False,comment,0.6119402985074627,0.7068965517241379,0.6559999999999999,1.888999938964844,Bug,meanscores
15,bigram-lemmatize-remove_stopwords-rating-tense-sentiment2,False,True,True,True,True,False,True,False,True,stopwords_removal_lemmatization,0.5263157894736842,0.1724137931034483,0.2597402597402597,1.4869999885559082,Bug,meanscores
16,bow-remove_stopwords,True,False,False,True,False,False,False,False,False,stopwords_removal,0.6842105263157895,0.2241379310344828,0.3376623376623377,12.595999956130981,Bug,meanscores
17,bow-lemmatize-remove_stopwords-rating-tense-sentiment1,True,False,True,True,True,False,True,True,False,stopwords_removal_lemmatization,0.75,0.2790697674418605,0.4067796610169491,9.441999912261963,Feature,meanscores
18,bigram,False,True,False,False,False,False,False,False,False,comment,0.5285714285714286,0.8604651162790697,0.654867256637168,1.75,Feature,meanscores
