cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6428571428571429;0.15517241379310345;0.25;8.114000082015991
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7391304347826086;0.29310344827586204;0.419753086419753;11.86899995803833
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6875;0.1896551724137931;0.29729729729729726;11.014999866485596
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.6486486486486487;0.41379310344827586;0.5052631578947369;13.958999872207642
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.62;0.5344827586206896;0.574074074074074;11.444000005722046
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6956521739130435;0.27586206896551724;0.3950617283950617;12.845999956130981
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6363636363636364;0.1206896551724138;0.2028985507246377;9.337000131607056
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7241379310344828;0.3620689655172414;0.48275862068965525;9.170000076293945
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6119402985074627;0.7068965517241379;0.656;1.4690001010894775
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5263157894736842;0.1724137931034483;0.2597402597402597;1.559999942779541
