cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.9137931034482759
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.896551724137931
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.9137931034482759
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7758620689655172
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.6724137931034483
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.8793103448275862
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.9310344827586207
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.8620689655172413
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5517241379310345
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8448275862068966
