cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8;0.20512820512820512;0.32653061224489793;15.836999893188477
bigram;False;True;False;False;False;False;False;False;False;comment;0.5671641791044776;0.9743589743589743;0.7169811320754716;2.056999921798706
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.8888888888888888;0.6153846153846154;0.7272727272727273;19.016000032424927
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.85;0.8717948717948718;0.8607594936708862;21.7810001373291
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8666666666666667;0.3333333333333333;0.48148148148148157;18.325999975204468
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8648648648648649;0.8205128205128205;0.8421052631578947;21.888999938964844
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.875;0.5384615384615384;0.6666666666666666;12.49399995803833
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.875;0.8974358974358975;0.8860759493670887;17.200000047683716
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.8823529411764706;0.7692307692307693;0.8219178082191781;15.435999870300293
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.875;0.5384615384615384;0.6666666666666666;18.19099998474121
bow;True;False;False;False;False;False;False;False;False;comment;0.90625;0.7435897435897436;0.8169014084507042;18.2810001373291
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.896551724137931;0.6666666666666666;0.7647058823529411;15.542999982833862
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8571428571428571;0.15384615384615385;0.2608695652173913;13.225000143051147
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.9032258064516129;0.717948717948718;0.8;13.966000080108643
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.75;0.8461538461538461;0.7951807228915663;2.192000150680542
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;1.0;0.1282051282051282;0.22727272727272727;1.6630001068115234
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.8636363636363636;0.48717948717948717;0.6229508196721311;17.591000080108643
