cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7428571428571429;0.4;0.52;13.168999910354614
bigram;False;True;False;False;False;False;False;False;False;comment;0.58;0.8923076923076924;0.703030303030303;1.944000005722046
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7073170731707317;0.4461538461538462;0.5471698113207547;19.248000144958496
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.7;0.6461538461538462;0.6719999999999999;20.950999975204468
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.717948717948718;0.4307692307692308;0.5384615384615385;15.816999912261963
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7142857142857143;0.6923076923076923;0.7031250000000001;19.83299994468689
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7307692307692307;0.2923076923076923;0.41758241758241754;11.871999979019165
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7230769230769231;0.7230769230769231;0.7230769230769231;15.174000024795532
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.7142857142857143;0.46153846153846156;0.5607476635514019;12.855999946594238
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6956521739130435;0.49230769230769234;0.5765765765765766;17.294999837875366
bow;True;False;False;False;False;False;False;False;False;comment;0.6829268292682927;0.4307692307692308;0.5283018867924528;16.96499991416931
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7352941176470589;0.38461538461538464;0.5050505050505051;14.200999975204468
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7428571428571429;0.4;0.52;11.858000040054321
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7317073170731707;0.46153846153846156;0.5660377358490566;12.815999984741211
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6739130434782609;0.9538461538461539;0.7898089171974523;2.1130001544952393
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6666666666666666;0.8;0.7272727272727273;1.6579999923706055
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.76;0.2923076923076923;0.4222222222222223;13.464999914169312
