cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.25
bigram;False;True;False;False;False;False;False;False;False;comment;0.6845637583892618
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.419753086419753
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.5656565656565656
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.29729729729729726
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.5052631578947369
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.33766233766233766
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.574074074074074
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.5274725274725275
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.3950617283950617
bow;True;False;False;False;False;False;False;False;False;comment;0.4418604651162791
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.47058823529411764
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.2028985507246377
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.48275862068965525
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.656
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.2597402597402597
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.33766233766233766
