cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7926497267304395;0.5335989807525464;0.6348353668091987;3.6976000547409056
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7656195188569568;0.5492388217172334;0.6386448513300266;5.126600027084351
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7909169915188701;0.700349579710796;0.741506915093537;4.437099957466126
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7562127256722039;0.7363113758042036;0.7451474168731331;5.748500013351441
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7576217336833364;0.7777600367987885;0.7662423669433357;4.400099968910217
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7664445567730374;0.5680759570276817;0.6493648317476258;5.53320004940033
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7724747787248889;0.5696328614433417;0.6541335424547912;3.647100019454956
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7706644278343693;0.5642695220330227;0.648902423348281;3.796199989318848
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.5948435850837746;0.9594355558086637;0.7334892557458018;0.8331999778747559
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6076859526797318;0.9060057985703217;0.7261290932801605;0.6569999933242798
