cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold;2_fold;3_fold;4_fold;5_fold;6_fold;7_fold;8_fold;9_fold;10_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.725;0.8050847457627119;0.8181818181818181;0.7807017543859649;0.819672131147541;0.8032128514056224;0.8063241106719368;0.8125;0.7304347826086957;0.8048780487804879
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7532467532467533;0.776923076923077;0.7580645161290324;0.7155172413793103;0.7782426778242678;0.7899159663865546;0.7622950819672132;0.7428571428571428;0.782608695652174;0.7704918032786887
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8502024291497975;0.7876106194690266;0.7614213197969543;0.8105726872246696;0.8240000000000001;0.8251121076233184;0.8495575221238937;0.7843137254901962;0.8083333333333333;0.7926267281105991
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.763819095477387;0.7333333333333333;0.8214285714285714;0.7632850241545893;0.7804878048780488;0.7864077669902914;0.7870370370370371;0.7678571428571428;0.8090909090909092;0.782608695652174
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7586206896551724;0.779816513761468;0.7777777777777779;0.7715736040609137;0.7289719626168224;0.8230088495575221;0.8036529680365297;0.794392523364486;0.8;0.8115942028985507
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7258064516129032;0.7731092436974789;0.7741935483870968;0.7767857142857142;0.7795275590551181;0.7967479674796748;0.7583333333333333;0.7288888888888888;0.7851239669421488;0.7622950819672131
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.8032128514056224;0.7881355932203389;0.7698744769874478;0.7601809954751131;0.839506172839506;0.7963800904977375;0.8442622950819673;0.743801652892562;0.7968127490039841;0.7857142857142857
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7767857142857143;0.7583333333333333;0.743801652892562;0.7808764940239042;0.7264573991031391;0.7457627118644068;0.7649769585253456;0.8181818181818181;0.7420814479638008;0.7983539094650206
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.7906976744186047;0.801762114537445;0.7512690355329948;0.807017543859649;0.8141592920353983;0.8484848484848485;0.7889908256880733;0.8138528138528138;0.8571428571428571;0.7929515418502203
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7314814814814815;0.7564766839378239;0.7793427230046949;0.7567567567567568;0.7802690582959642;0.7766990291262136;0.7579908675799087;0.7299999999999999;0.8133971291866028;0.7619047619047619
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.797979797979798;0.7184466019417476;0.8082901554404145;0.7894736842105263;0.7653061224489796;0.7906976744186047;0.7301587301587302;0.7938144329896907;0.7655502392344498;0.7857142857142856
