cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.7682511120680033;0.8968592086285483;0.82700748037666;4.682599973678589
bigram;False;True;False;False;False;False;False;False;False;comment;0.9848358585858585;0.4149105325894412;0.5795048020711286;0.9340999603271485
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7269795109336047;0.8554292379478923;0.7854505325605412;6.720100045204163
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.9025333651953578;0.7555930748377968;0.8220411189801856;7.592500019073486
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.8790977648137602;0.7826724630944119;0.8276029643417007;6.301000046730041
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.8983577902332801;0.7870775021917618;0.8386655554368423;7.670300030708313
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6900592624640262;0.9015519708777079;0.780612723321153;4.7052000045776365
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.8872173317430747;0.7605376341267068;0.818124574922137;5.76010000705719
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.7018103396413793;0.8778874370609726;0.7794473073996456;4.678099989891052
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.7445770074011262;0.870961211729526;0.8024967637481204;6.762299966812134
bow;True;False;False;False;False;False;False;False;False;comment;0.6969137651941086;0.8780240019446589;0.7761808661068906;6.307099986076355
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.8805995872534403;0.7842723178298872;0.829410293924218;5.463900017738342
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7503658353610039;0.8912866421467418;0.8141848866772617;4.500100040435791
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7216107262424215;0.8841721967978406;0.7934636278191126;4.88800003528595
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.9708976119938395;0.5937101309722861;0.7355511530622586;0.9289999961853027
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.8740472977156714;0.6910638755434303;0.7702663942531054;0.7224999904632569
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.6773215570396713;0.8953660654090422;0.7703405042512933;5.1128000020980835
