cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;Mean_Precision;Mean_Recall;Mean_F1Score;Mean_Time
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.6428571428571429;0.15517241379310345;0.25;10.342000007629395
bigram;False;True;False;False;False;False;False;False;False;comment;0.5604395604395604;0.8793103448275862;0.6845637583892618;1.563999891281128
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.7391304347826086;0.29310344827586204;0.419753086419753;14.3989999294281
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.6829268292682927;0.4827586206896552;0.5656565656565656;16.986000061035156
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.6875;0.1896551724137931;0.29729729729729726;14.921000003814697
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.6486486486486487;0.41379310344827586;0.5052631578947369;18.87000012397766
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.6842105263157895;0.22413793103448276;0.33766233766233766;10.190999984741211
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.62;0.5344827586206896;0.574074074074074;12.864000082015991
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.7272727272727273;0.41379310344827586;0.5274725274725275;10.64299988746643
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.6956521739130435;0.27586206896551724;0.3950617283950617;14.66700005531311
bow;True;False;False;False;False;False;False;False;False;comment;0.6785714285714286;0.3275862068965517;0.4418604651162791;16.865999937057495
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.7407407407407407;0.3448275862068966;0.47058823529411764;12.641000032424927
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.6363636363636364;0.1206896551724138;0.2028985507246377;10.157000064849854
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.7241379310344828;0.3620689655172414;0.48275862068965525;11.561999797821045
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.6119402985074627;0.7068965517241379;0.656;1.8889999389648438
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.5263157894736842;0.1724137931034483;0.2597402597402597;1.4869999885559082
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.6842105263157895;0.22413793103448276;0.33766233766233766;12.595999956130981
